,Model Name,MAE CV,MAPE CV,RMSE CV
0,XGBoost Regressor,1389.66 +/- 84.77,0.1994 +/- 0.0056,2014.23 +/- 119.86
1,XGBoost Regressor,1725.05 +/- 103.21,0.2516 +/- 0.0033,2491.71 +/- 163.18
2,XGBoost Regressor,775.79 +/- 111.78,0.1101 +/- 0.0108,1118.2 +/- 162.58
3,XGBoost Regressor,1051.64 +/- 103.09,0.1515 +/- 0.0096,1512.99 +/- 152.44
4,XGBoost Regressor,1473.41 +/- 89.11,0.2114 +/- 0.004,2143.95 +/- 132.27
5,XGBoost Regressor,755.11 +/- 107.78,0.1079 +/- 0.0123,1096.39 +/- 154.98
6,XGBoost Regressor,1102.13 +/- 87.62,0.1591 +/- 0.0069,1586.08 +/- 127.77
7,XGBoost Regressor,990.02 +/- 107.83,0.1435 +/- 0.0111,1418.94 +/- 152.22
8,XGBoost Regressor,1696.98 +/- 102.09,0.2463 +/- 0.0034,2456.53 +/- 159.8
9,XGBoost Regressor,804.01 +/- 102.79,0.1151 +/- 0.0105,1153.01 +/- 152.04
